2013 County Business Patterns
United States
Major Industry
"NAICS code","NAICS code description","Paid employees for paid period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)","Total establishments"
"------","Total for all sectors                                                                                                                                 ","118266253","1411380886","5621697325","7488353",
"11----","Agriculture, Forestry, Fishing and Hunting                                                                                                            ","154496","1309440","5826857","22111",
"21----","Mining, Quarrying, and Oil and Gas Extraction                                                                                                         ","732186","16709958","64776917","28720",
"22----","Utilities                                                                                                                                             ","638575","18046992","60178800","18004",
"23----","Construction                                                                                                                                          ","5470181","64499724","293999490","658483",
"31----","Manufacturing                                                                                                                                         ","11276438","151933005","611831529","292094",
"42----","Wholesale Trade                                                                                                                                       ","5908763","95602608","386346897","419648",
"44----","Retail Trade                                                                                                                                          ","15023362","92954029","387294616","1063616",
"48----","Transportation and Warehousing                                                                                                                        ","4287236","47440392","193656721","215547",
"51----","Information                                                                                                                                           ","3266084","71712456","273296751","135627",
"52----","Finance and Insurance                                                                                                                                 ","6063761","167496534","537716405","472242",
"53----","Real Estate and Rental and Leasing                                                                                                                    ","1972105","22538844","92320076","357533",
"54----","Professional, Scientific, and Technical Services                                                                                                      ","8275350","151035911","628014674","869445",
"55----","Management of Companies and Enterprises                                                                                                               ","3098762","92442032","325799136","52909",
"56----","Administrative and Support and Waste Management and Remediation Services                                                                              ","10185297","85926814","365964724","393354",
"61----","Educational Services                                                                                                                                  ","3513469","30120246","124471537","98104",
"62----","Health Care and Social Assistance                                                                                                                     ","18598711","199067260","832306942","843603",
"71----","Arts, Entertainment, and Recreation                                                                                                                   ","2112000","14305244","67981590","126952",
"72----","Accommodation and Food Services                                                                                                                       ","12395387","51055322","216338816","673810",
"81----","Other Services (except Public Administration)                                                                                                         ","5282688","37136511","153308347","734406",
"99----","Industries not classified                                                                                                                             ","j","47564","266500","12145",


Number of establishments by employment-size class

"NAICS code","NAICS code description","Total establishments","'1-4'","'5-9'","'10-19'","'20-49'","'50-99'","'100-249'","'250-499'","'500-999'","'1000 or more'"

"------","Total for all sectors                                                                                                                                 ","7488353","4088288.00000","1400383","951221","652075","221192","124411","31843","11799","7141",
"11----","Agriculture, Forestry, Fishing and Hunting                                                                                                            ","22111","15158.00000","3676","1847","992","281","123","29","2","3",
"21----","Mining, Quarrying, and Oil and Gas Extraction                                                                                                         ","28720","14468.00000","4354","3837","3366","1318","880","318","124","55",
"22----","Utilities                                                                                                                                             ","18004","7218.00000","2897","2481","2771","1345","832","276","134","50",
"23----","Construction                                                                                                                                          ","658483","444211.00000","101550","59258","36799","10604","4623","1010","290","138",
"31----","Manufacturing                                                                                                                                         ","292094","109224.00000","50626","43913","43281","20972","16022","5255","1977","824",
"42----","Wholesale Trade                                                                                                                                       ","419648","218973.00000","81112","58312","40582","12305","6158","1540","490","176",
"44----","Retail Trade                                                                                                                                          ","1063616","473560.00000","267823","171041","92780","31102","22566","4433","270","41",
"48----","Transportation and Warehousing                                                                                                                        ","215547","122799.00000","32527","24479","20187","8005","5167","1442","666","275",
"51----","Information                                                                                                                                           ","135627","70246.00000","20772","17954","14806","6020","3789","1220","590","230",
"52----","Finance and Insurance                                                                                                                                 ","472242","280922.00000","100040","51763","24197","7539","4545","1749","908","579",
"53----","Real Estate and Rental and Leasing                                                                                                                    ","357533","263673.00000","54526","24323","10459","2900","1272","260","81","39",
"54----","Professional, Scientific, and Technical Services                                                                                                      ","869445","613526.00000","118774","71320","41807","13391","7347","2076","733","471",
"55----","Management of Companies and Enterprises                                                                                                               ","52909","20295.00000","7341","7379","7994","4203","3242","1334","696","425",
"56----","Administrative and Support and Waste Management and Remediation Services                                                                              ","393354","236076.00000","57315","38465","30240","14345","10634","3602","1695","982",
"61----","Educational Services                                                                                                                                  ","98104","45944.00000","15851","13507","12688","5537","2921","755","452","449",
"62----","Health Care and Social Assistance                                                                                                                     ","843603","387217.00000","192132","129617","78619","27589","20004","4500","1912","2013",
"71----","Arts, Entertainment, and Recreation                                                                                                                   ","126952","76892.00000","16635","12968","11857","4963","2677","603","243","114",
"72----","Accommodation and Food Services                                                                                                                       ","673810","219213.00000","116293","144198","143409","40671","8462","965","382","217",
"81----","Other Services (except Public Administration)                                                                                                         ","734406","456914.00000","155836","74493","35224","8102","3147","476","154","60",
"99----","Industries not classified                                                                                                                             ","12145","11759.00000","303","66","17","0","0","0","0","0",

